id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas
alpha-centauri-c,Proxima Centauri,4.2465,Cen,217.42916666666665,-62.67944444444444,M5.5Ve,0.122,11.09,15.53,768.0665
alpha-centauri-a,Alpha Centauri,4.3441,Cen,219.90208333333334,-60.83388888888889,G2V,1.079,0.01,4.38,750.81
alpha-centauri-b,Toliman,4.3441,Cen,219.89625,-60.83722222222222,K1V,0.909,1.34,5.71,750.81
barnard-star,Barnard's Star,5.9629,Oph,269.45208333333335,4.693333333333333,M4.0Ve,0.144,9.53,13.22,546.9759
luhman-16-a,Luhman 16 A,6.5029,Vel,162.32875,-53.31944444444445,L8±1,0.032,10.7 J,14.2 J,501.557
luhman-16-b,Luhman 16 B,6.5029,Vel,162.32875,-53.31944444444445,T1±2,0.027,16.2,19.7,501.557
wise-0855-0714,WISE 0855-0714,7.43,Hya,133.795,-7.245277777777778,Y4,0.003,25.0 J,28.2 J,439
wolf-359,Wolf 359,7.8558,Leo,164.12166666666667,7.014722222222222,M6.0V,0.09,13.44,16.55,415.1794
lalande-21185,Lalande 21185,8.3044,UMa,165.83416666666668,35.97,M2.0V,0.39,7.47,10.44,392.7529
sirius-a,Sirius A,8.7094,CMa,101.28708333333333,-16.71611111111111,A1V,2.063,−1.46,1.42,374.4896
sirius-b,Sirius B,8.7094,CMa,101.28708333333333,-16.71611111111111,DA2,1.018,8.44,11.34,374.4896
luyten-726-8-a,Luyten 726-8 A,8.724,Cet,24.755416666666665,-17.950277777777778,M5.5Ve,0.102,12.54,15.40,373.8443
luyten-726-8-b,Luyten 726-8 B,8.724,Cet,24.755416666666665,-17.950277777777778,M6.0Ve,0.1,12.99,15.85,373.8443
ross-154,Ross 154,9.7063,Sgr,282.4558333333333,-23.83611111111111,M3.5Ve,0.17,10.43,13.07,336.0266
ross-248,Ross 248,10.3057,And,355.47791666666666,44.175,M5.5Ve,0.136,12.29,14.79,316.4812
epsilon-eridani,Epsilon Eridani,10.4749,Eri,53.232499999999995,-9.458333333333332,K2V,0.82,3.73,6.19,311.37
lacaille-9352,Lacaille 9352,10.7241,PsA,346.46666666666664,-35.85305555555556,M0.5V,0.486,7.34,9.75,304.1354
ross-128,Ross 128,11.0074,Vir,176.935,0.8044444444444445,M4.0Vn,0.168,11.13,13.51,296.3053
ez-aquarii-a,EZ Aquarii A,11.109,Aqr,339.63916666666665,-15.299166666666666,M5.0Ve,0.11,13.33,15.64,293.6
ez-aquarii-b,EZ Aquarii B,11.109,Aqr,339.63916666666665,-15.299166666666666,M?,0.11,13.27,15.58,293.6
ez-aquarii-c,EZ Aquarii C,11.109,Aqr,339.63916666666665,-15.299166666666666,M?,0.1,14.03,16.34,293.6
61-cygni-a,61 Cygni A,11.4039,Cyg,316.7245833333334,38.74944444444444,K5.0V,0.7,5.21,7.49,286.0054
61-cygni-b,61 Cygni B,11.4039,Cyg,316.7304166666667,38.74194444444444,K7.0V,0.63,6.03,8.31,286.0054
procyon-a,Procyon A,11.463,CMi,114.82541666666667,5.2250000000000005,F5IV–V,1.499,0.38,2.66,284.56
procyon-b,Procyon B,11.463,CMi,114.82541666666667,5.2250000000000005,DQZ,0.602,10.70,12.98,284.56
struve-2398-a,Struve 2398 A,11.4908,Dra,280.6945833333333,59.63027777777778,M3.0V,0.334,8.90,11.16,283.8401
struve-2398-b,Struve 2398 B,11.4908,Dra,280.6954166666667,59.62694444444445,M3.5V,0.248,9.69,11.95,283.8401
groombridge-34-a,Groombridge 34 A,11.6191,And,4.595416666666666,44.02305555555555,M1.5V,0.38,8.08,10.32,280.7068
groombridge-34-b,Groombridge 34 B,11.6191,And,4.595416666666666,44.02305555555555,M3.5V,0.15,11.06,13.30,280.7068
dx-cancri,DX Cancri,11.6797,Cnc,127.45624999999998,26.776944444444442,M6.5Ve,0.09,14.78,16.98,279.2496
epsilon-indi-a,Epsilon Indi A,11.867,Ind,330.84041666666667,-56.78611111111111,K5Ve,0.754,4.69,6.89,274.8431
epsilon-indi-ba,Epsilon Indi Ba,11.867,Ind,331.04375,-56.782777777777774,T1.0V,0.065,12.3 J,14.5 J,274.8431
epsilon-indi-bb,Epsilon Indi Bb,11.867,Ind,331.04375,-56.782777777777774,T6.0V,0.05,13.2 J,15.4 J,274.8431
tau-ceti,Tau Ceti,11.9118,Cet,26.017083333333332,-15.9375,G8.5Vp,0.783,3.49,5.68,273.8097
