name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas
GJ 4248,25.008,Grus,330.62250000000006,-37.08083333333334,M3.5,0.2,11.80,,130.4186
Mu Cassiopeiae A,25.033,Cassiopeia,17.068333333333335,54.92027777777778,G5VIp,0.74,5.14,,130.2881
Mu Cassiopeiae B,25.033,Cassiopeia,17.068333333333335,54.92027777777778,M5V,,11.45,,130.2881
Alpha Piscis Austrini C,25.0368,Aquarius,342.01875,-24.36888888888889,M4V,,12.624,,130.2707
Vega,25.045,Lyra,279.2345833333334,38.78361111111111,A0Va,2.135,0.03,,130.23
VX Arietis,25.0513,Aries,41.06458333333333,25.523333333333333,M3.5V,0.3,10.56,,130.1956
Alpha Piscis Austrini A,25.126,Piscis Austrinus,344.4125,-29.622222222222224,A3V,,1.16,,129.81
AN Sextantis,25.1364,Sextans,153.07375,-3.7455555555555557,M1V,0.56,9.264,,129.7544
Gliese 673,25.1575,Ophiuchus,261.43833333333333,2.111388888888889,K7V,0.65,7.492,,129.6459
SIPS 1259-4336,25.2,Centaurus,194.76958333333332,-43.60666666666667,M7.5V,,18.01,,129.4288
LHS 1070 A,25.222,Sculptor,6.184166666666667,-27.140277777777776,M5.5-6V,,15.35,,129.3167
LHS 1070 B,25.222,Sculptor,6.184166666666667,-27.140277777777776,M8.5V,,,,129.3167
LHS 1070 C,25.222,Sculptor,6.184166666666667,-27.140277777777776,M9-9.5V,,,,129.3167
G 192-13,25.2245,Camelopardalis,90.29583333333332,59.59722222222222,M4.0Ve,0.23,7.465 (J),,129.3014
Gliese 701,25.2407,Serpens,271.2816666666667,-3.031388888888889,M1V,0.49,9.9,,129.2184
GJ 1093,25.286,Gemini,104.87,19.348888888888887,M5Ve,0.21,,,128.9866
LP 71-82,25.4203,Draco,270.56916666666666,64.26222222222222,M5.0V,,13.51,0.5,128.3057
WISE 1800+0134,25.47,Ophiuchus,270.1104166666667,1.5825,L7.5,0.045,14.30 (J),,128.0546
Gliese 623 A,25.585,Hercules,246.03875,48.35305555555556,M3.0Ve,0.51,,,127.4785
Gliese 623 B,25.585,Hercules,246.03875,48.35305555555556,M,,,,127.4785
WISE J0005+3737,25.7,Andromeda,1.3229166666666665,37.6225,T9,0.02,,,126.9
Gliese 54 A,25.702,Tucana,17.595416666666665,-67.44500000000001,M2.5V,0.43,9.80,,126.9
Gliese 54 B,25.702,Tucana,17.595416666666665,-67.44500000000001,M,,,,126.9
2MASS 0729-3954,25.82,Puppis,112.25,-39.901111111111106,T8,0.035,,,126.3
GJ 1224,25.9987,Serpens,271.88666666666666,-15.963055555555554,M4Ve,0.14,13.48,,125.4509
SCR J0740−4257,26.0295,Puppis,115.04916666666668,-42.961111111111116,M4.5,,13.81,14.3,125.3028
BB Capricorni A,26.03,Capricornus,322.8275,-9.790555555555555,M4.5V,,12.66,,125.3
BB Capricorni B,26.03,Capricornus,322.8275,-9.790555555555555,M,,14.76,,125.3
Gliese 257 A,26.2274,Puppis,104.44416666666667,-44.29111111111111,M3.5V,0.25,11.48,,124.3569
Gliese 257 B,26.2274,Puppis,104.44416666666667,-44.29111111111111,M3,,11.29,,124.3569
GJ 1151,26.231,Ursa Major,177.74041666666668,48.3775,M4.5,0.154,14.008,,124.3378
Gliese 480.1,26.2637,Centaurus,190.19291666666666,43.56638888888889,M3V,,12.239,12.7,124.1851
Pi3 Orionis,26.316,Orion,72.46,6.961388888888889,F6V,1.236,3.16,,123.94
Gliese 486,26.3506,Virgo,191.98583333333335,9.751388888888888,M3.5Ve,0.323,11.395,,123.7756
2MASS J21481628+4003593,26.37,Cygnus,327.0679166666667,40.06638888888889,L6.5pec (red),,,,123.6752
Gliese 793,26.3764,Cepheus,307.6333333333333,65.44944444444445,M3V,0.39,,,123.6547
GJ 1154,26.3789,Virgo,183.56874999999997,0.6238888888888889,M4.5Ve,,,,123.643
Gliese 300,26.473,Puppis,123.17041666666665,-21.551944444444445,M3.5V,0.17,12.13,,123.2033
G 99-47,26.474,Orion,89.10625,5.363333333333333,DAP8.9,0.71,14.105,,123.1989
Gliese 686,26.6132,Hercules,264.47208333333333,18.591666666666665,M1V,0.42,9.577,,122.5546
Gliese 293,26.6439,Volans,118.28375,-67.79194444444444,DC8.8,0.59,12.726 (J),,122.413
UGPS J0521+3640,26.69,Auriga,80.36208333333332,36.68333333333333,T8.5,0.019,,,122.2
p Eridani A,26.7334,Eridanus,24.94833333333333,-56.19638888888888,K2V,0.88,5.82,,122.0035
p Eridani B,26.7334,Eridanus,24.94833333333333,-56.19638888888888,K2V,,5.95,,122.0035
L 173-19,26.7982,Eridanus,30.159583333333334,-55.96805555555556,MV,,12.9,13.3,121.7084
Gliese 884,26.8502,Aquarius,345.06708333333336,-22.524444444444445,K7+Vk,0.63,7.88,,121.4724
Gliese 48,26.853,Cassiopeia,15.634166666666667,71.67972222222222,M3.0Ve,0.48,,,121.4598
WISEPC J115013.88+630240.7,26.87,Ursa Major,177.5579166666667,63.044999999999995,T8,,,,121.4
Gliese 747 A,27.134,Lyra,286.9291666666667,32.544999999999995,M3V,,11.3,11.7,120.2
Gliese 747 B,27.134,Lyra,286.9291666666667,32.544999999999995,M,,,,120.2
2MASS 0348-6022,27.16,Reticulum,57.032083333333325,-60.37416666666667,T7,,,,120.1
Chi Draconis A,27.17,Draco,275.2641666666667,72.73277777777778,F7V,1.029,3.68,,124.11
Chi Draconis B,27.17,Draco,275.2641666666667,72.73277777777778,K0V,,5.67,,124.11
WD 2359-434,27.176,Phoenix,0.5445833333333333,-43.165277777777774,DAP5.8,0.9,13.1,13.5,120.0143
Mu Herculis Aa,27.197,Hercules,266.6145833333333,27.72083333333333,G5IV,1.11,3.42,,119.9248
Mu Herculis Ab,27.197,Hercules,266.6145833333333,27.72083333333333,M4V,,,,119.9248
Mu Herculis B,27.197,Hercules,266.6145833333333,27.72083333333333,M3.5V,,,,119.9248
Mu Herculis C,27.197,Hercules,266.6145833333333,27.72083333333333,M,,,,119.9248
Wolf 489,27.2349,Virgo,204.1325,3.6791666666666667,DZ10.0,0.55,,,119.7566
GJ 1227,27.236,Draco,275.61291666666665,62.050555555555555,M4.0V,,,,119.7519
GJ 1289,27.275,Andromeda,355.77625,36.536944444444444,MV,0.21,12.7,13,119.5794
Gliese 185 A,27.2766,Lepus,75.61874999999999,-21.256666666666668,K7V,0.59,8.3,8.7,119.5737
Gliese 185 B,27.2766,Lepus,75.61874999999999,-21.256666666666668,M,,,,119.5737
SCR 1138-7721,27.3296,Chamaeleon,174.57,-77.36361111111111,MV,0.18,14.8,15.2,119.3419
SCR J1546−5534 A,27.39,Norma,236.67375,-55.57972222222222,M7.5,,,,119.0962
SCR J1546−5534 B,27.39,Norma,236.67375,-55.57972222222222,T8,,,,119.0962
2MASS J00345157+0523050,27.45,Pisces,8.715,5.384722222222223,T6.5,0.04,,,118.8
TYC 3980-1081-1 A,27.604,Cepheus,327.90958333333333,59.294444444444444,M3.5V,0.2,10.6,11,118.1551
TYC 3980-1081-1 B,27.604,Cepheus,327.90958333333333,59.294444444444444,DAH,,,,118.1551
Beta Canum Venaticorum,27.634,Canes Venatici,188.4354166666667,41.3575,G0V,1.025,4.24,,118.0266
Gliese 232,27.7046,Gemini,96.17208333333335,23.43305555555556,M4V,,,,117.7263
Gliese 618 A,27.7647,Scorpius,245.01458333333335,-37.528888888888886,M3V,,10.6,10.9,117.4716
Gliese 618 B,27.7647,Scorpius,245.01458333333335,-37.528888888888886,M5,,,,117.4716
Gliese 318,27.7826,Pyxis,130.38500000000002,-32.942499999999995,DA5.5,0.45,11.9,12.2,117.3961
61 Virginis,27.836,Virgo,199.60125000000002,-18.311111111111114,G7V,0.93,4.74,,117.1726
GJ 1276,27.8436,Aquarius,343.47208333333333,-6.781666666666666,DZ,0.54,15.7,16,117.1388
Gliese 493.1,27.869,Virgo,195.13958333333332,5.685555555555556,M4.5Ve,,,,117.0327
