id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas,iau_name
gaia-edr3-1097353325107339776,Gaia EDR3 1097353325107339776,40.1,,126.4615125,69.02796388888889,,,,,81.373,
gliese-3526,Gliese 3526,40.1,,135.72258333333332,68.06446027777777,M4.0Ve,,12.6,12.2,81.362,
gaia-edr3-818808375085298944,Gaia EDR3 818808375085298944,40.1,,140.2307125,45.647598888888886,,,,,81.294,
l-89-27,L 89-27,40.1,,31.866341666666667,-66.5682261111111,M2,,11.6,11.1,81.278,
ross-567,Ross 567,40.2,,58.293795833333334,62.567711388888895,M3.0Ve,,,-0.5,81.202,
g-75-35,G 75-35,40.2,,40.31465416666667,-4.5385425,M4.5V,,13.8,13.3,81.199,
2mass-j1800-1559,2MASS J1800-1559,40.2,,270.00482916666664,-15.991306944444444,L4.5,,,,81.146,
l-85-31,L 85-31,40.2,,358.3594125,-70.94461583333333,M3.5,,13,12.5,81.136,
hd-196877,HD 196877,40.3,,310.57888333333335,-52.7040075,K7V,,8.8,8.4,81.028,
ross-92,Ross 92,40.3,,145.26077083333334,22.022373055555555,M4,,,,81.024,
ucac4-414-032626,UCAC4 414-032626,40.3,,111.809025,-7.310302777777777,,,15,14.5,80.87,
gliese-1215,Gliese 1215,40.3,,259.4321416666667,11.668137777777778,M5V C,,,,80.841,
gliese-1025,Gliese 1025,40.4,,15.240483333333334,-4.447094166666667,M4.0V C,,13.3,12.9,80.788,
2mass-j0439-2353,2MASS J0439-2353,40.4,,69.7536375,-23.8863725,L4.5,0.046,,,80.727,
gaia-edr3-930822015518055808,Gaia EDR3 930822015518055808,40.5,,127.52714583333335,48.47642777777778,,,,,80.629,
wolf-1539,Wolf 1539,40.5,,73.024575,6.475192222222223,M2V,0.357,12,11.5,80.562,
beta-trianguli-australis,Beta Trianguli Australis,40.5,,238.78381249999998,-63.432511388888884,F1V,1.56,2.9,2.4,80.485,
l-601-78,L 601-78,40.5,,118.72992083333334,-29.3512425,M4,,12.8,12.3,80.478,
l-489-58,L 489-58,40.6,,283.41834166666666,-38.616458333333334,M3.5V,,,,80.414,
lehpm-5031,LEHPM 5031,40.6,,340.49609999999996,-75.00821805555556,M5.5,,,,80.396,
2mass-j0401-2849,2MASS J0401+2849,40.6,,60.40428333333334,28.830850833333333,L3,,,,80.38,
2mass-j0024-0158,2MASS J0024-0158,40.6,,6.102316666666667,-1.971586388888889,M9.5,0.075,19.4,19,80.344,
l-87-10,L 87-10,40.6,,16.0256875,-65.37498972222221,M4,,14,13.5,80.344,
g-86-28,G 86-28,40.6,,77.66342916666667,29.78023888888889,M3.0Ve,,,,80.335,
2mass-j0754-3809,2MASS J0754-3809,40.6,,118.72811666666666,-38.15886027777778,,,15.5,15,80.257,
trappist-1,TRAPPIST-1,40.7,,346.6265416666667,-5.043528333333334,M7.5e,0.09,18.8,18.3,80.212,
lp-756-18,LP 756-18,40.7,,313.9111833333333,-14.067343055555556,M4.5V,,14.6,14.1,80.205,
g-207-19,G 207-19,40.7,,287.1236583333333,32.280006666666665,M3V,,,,80.184,
l-22-69,LHS 475,40.7,,290.2383458333333,-82.55995916666666,M3.5V,0.262,12.7,12.2,80.113,
g-205-35,G 205-35,40.7,,280.40435833333333,39.70257166666667,M4,,,,80.104,
gaia-edr3-5600272629670698880,Gaia EDR3 5600272629670698880,40.7,,118.73010416666668,-29.351038055555556,,,,,80.098,
g-7-4,Gliese 3250,40.7,,56.8391625,8.693515555555555,M5V,,,,80.055,
lp-649-72,LP 649-72,40.7,,33.55462083333334,-3.962800555555556,M5.5V C,,,,80.055,
hd-21531,HD 21531,40.7,,51.96839166666667,-19.804483611111113,K5V,,8.4,7.9,80.04,
pm-j07199-8404,PM J07199+8404,40.8,,109.99024583333333,84.07690194444444,M2.5Ve,,11.9,11.4,80.024,
l-211-59,L 211-59,40.8,,315.8052083333333,-56.96185333333334,M4V,,12.8,12.3,80.021,
wisep-j180435.40-311706.1,WISEP J180435.40+311706.1,40.8,,271.1474083333333,31.28513388888889,T9.5:,,,,80,
lp-888-18,LP 888-18,40.8,,52.876354166666665,-30.712576388888888,M7.5V,,18.9,18.4,79.947,
scr-j1841-4347,SCR J1841-4347,40.8,,280.28600416666666,-43.792808055555554,,,16.5,16,79.933,
gliese-1029,Gliese 1029,40.8,,16.416566666666665,28.491826944444444,M5.42,,,,79.926,
ucac4-767-032810,UCAC4 767-032810,40.9,,72.27567083333334,63.28615944444444,,,12.7,12.2,79.73,
lambda-aurigae,Lambda Aurigae,41,,79.78834583333334,40.09609805555556,G1.5IV-VFe-1,1.081,4.7,4.2,79.602,
cfbds-j003402-005206,CFBDS J003402-005206,41,,8.5115625,-0.8685611111111111,T8+/Y?,,,,79.6,
sips-j0921-2104,SIPS J0921-2104,41,,140.3099625,-21.08305777777778,L1,,,,79.573,
hd-69830,HD 69830,41,,124.60106666666667,-12.636561666666665,G8V,0.863,6,5.4,79.495,
g-76-62,G 76-62,41.1,,47.25199166666667,10.021186111111112,M5.04,,14.9,14.4,79.453,
l-207-41,L 207-41,41.1,,282.4579791666667,-57.44765222222222,M4,,12.7,12.2,79.416,
gliese-1132,Gliese 1132,41.1,,153.7088875,-47.15487805555556,M4 D,0.181,13.7,13.2,79.321,
lawd-10,LAWD 10,41.2,,24.500066666666665,-4.9972980555555555,DA+D1,,12.8,12.3,79.243,
gaia-edr3-1800808220172866048,Gaia EDR3 1800808220172866048,41.2,,324.5043166666667,27.72434361111111,,,,,79.225,
1rxs-j0635-0403,1RXS J0635-0403,41.2,,98.87395833333333,-4.054774166666666,M5.5V,,14.6,14.1,79.164,
gliese-1072,Gliese 1072,41.3,,72.71524583333334,22.120756944444445,M5V,,15.2,14.7,79.039,
sips-j0539-0059,SIPS J0539-0059,41.3,,84.9674375,-0.9823152777777778,L5V,,,,78.945,
wolf-1056,Wolf 1056,41.3,,9.7540625,30.616338055555556,M2.5V,0.4,,-0.5,78.897,
gliese-422,Gliese 422,41.3,,168.98044583333333,-57.54239833333333,M3.5 D,0.35,11.5,11,78.892,
pm-j22114-4059,PM J22114+4059,41.4,,332.8501625,40.99993777777778,M5.5V,,15.1,14.6,78.876,
hd-190007,HD 190007,41.5,,300.6956541666667,3.326715833333333,K5V B,0.68,,,78.646,
ucac4-026-011435,UCAC4 026-011435,41.5,,352.64543749999996,-84.92220194444445,,,14.4,13.9,78.611,
wolf-1555,Wolf 1555,41.5,,332.986975,-7.715872222222222,M0,,12.7,12.2,78.6,
g-236-34,G 236-34,41.5,,158.841525,69.44679388888889,M4V,,,,78.575,
lp-560-35,LP 560-35,41.5,,218.0333125,8.192058333333334,M6V,,,,78.561,
2mass-j0523-1403,2MASS J0523-1403,41.5,,80.90978333333334,-14.049842777777778,L2.5V,0.064,,,78.527,
l-21-3,L 21-3,41.5,,262.3503958333333,-80.14714888888889,M4e,,12.1,11.6,78.506,
2mass-j0144-0716,2MASS J0144-0716,41.5,,26.149262500000003,-7.271518055555555,L6.5,,,,78.498,
scr-j0246-7024,SCR J0246-7024,41.6,,41.512279166666666,-70.40213305555557,,,14.9,14.3,78.394,
wolf-398,Wolf 398,41.7,,172.23105833333332,10.180048611111111,M4V,,,,78.292,
cd-52-7989,CD-52 7989,41.7,,257.7447041666667,-52.51481583333333,M1V,,10,9.5,78.262,
hd-101581,HD 101581,41.7,,175.256175,-44.40411472222222,K4.5Vk:,0.74,7.8,7.2,78.227,
hd-82106,HD 82106,41.7,,142.47622916666666,5.655613888888889,K3V,0.79,7.2,6.7,78.195,
hd-158633,HD 158633,41.7,,261.2443208333333,67.30672944444444,K0V,0.729,,,78.175,
gliese-390,Gliese 390,41.7,,156.29202916666665,-10.228151944444445,M1V,0.53,10.1,9.6,78.175,
mcc-499,MCC 499,41.7,,113.8403,54.84977305555556,M2.5Ve,,11.3,10.8,78.163,
cd-32-828,CD-32 828,41.8,,33.47745,-32.04360666666666,M2Vk,,10.3,9.8,78.117,
l-217-28,L 217-28,41.8,,2.069529166666667,-57.09822694444445,M4V,,12.1,11.5,78.078,
g-269-106,G 269-106,41.8,,17.079941666666667,-28.8062575,M3,,13.4,12.9,77.962,
g-25-8,G 25-8,41.8,,313.3855625,10.61529111111111,M5V,,,,77.941,
hd-14412,HD 14412,41.9,,34.74273333333333,-25.94371111111111,G8V,0.821,6.3,5.8,77.914,
